OG	SAMP	assembly	size
OG311	OG311.ilmn.221123	OG311.ilmn.221123.v129mh.fna	1.104 GiB
OG312	OG312.ilmn.221123	OG312.ilmn.221123.v129mh.fna	1.760 GiB
OG313	OG313.ilmn.230302	OG313.ilmn.230302.v129mh.fna	0 B
OG313	OG313.ilmn.230419	OG313.ilmn.230419.v129mh.fna	0 B
OG314	OG314.ilmn.230302	OG314.ilmn.230302.v129mh.fna	0 B
OG314	OG314.ilmn.230419	OG314.ilmn.230419.v129mh.fna	0 B
OG315	OG315.ilmn.221115	OG315.ilmn.221115.v129mh.fna	727.966 MiB
OG316	OG316.ilmn.221115	OG316.ilmn.221115.v129mh.fna	557.413 MiB
OG317	OG317.ilmn.230302	OG317.ilmn.230302.v129mh.fna	0 B
OG317	OG317.ilmn.230419	OG317.ilmn.230419.v129mh.fna	0 B
OG318	OG318.ilmn.230302	OG318.ilmn.230302.v129mh.fna	0 B
OG318	OG318.ilmn.230419	OG318.ilmn.230419.v129mh.fna	0 B
OG319	OG319.ilmn.221115	OG319.ilmn.221115.v129mh.fna	651.641 MiB
OG320	OG320.ilmn.230302	OG320.ilmn.230302.v129mh.fna	0 B
OG320	OG320.ilmn.230419	OG320.ilmn.230419.v129mh.fna	545.989 MiB
OG321	OG321.ilmn.230302	OG321.ilmn.230302.v129mh.fna	0 B
OG321	OG321.ilmn.230419	OG321.ilmn.230419.v129mh.fna	989.477 MiB
OG322	OG322.ilmn.230302	OG322.ilmn.230302.v129mh.fna	0 B
OG322	OG322.ilmn.230419	OG322.ilmn.230419.v129mh.fna	0 B
OG323	OG323.ilmn.221003	OG323.ilmn.221003.v129mh.fna	1.059 GiB
OG324	OG324.ilmn.221003	OG324.ilmn.221003.v129mh.fna	1.025 GiB
OG325	OG325.ilmn.221003	OG325.ilmn.221003.v129mh.fna	0 B
OG326	OG326.ilmn.221003	OG326.ilmn.221003.v129mh.fna	591.931 MiB
OG327	OG327.ilmn.230324	OG327.ilmn.230324.v129mh.fna	1.155 GiB
OG328	OG328.ilmn.230324	OG328.ilmn.230324.v129mh.fna	796.790 MiB
OG329	OG329.ilmn.230302	OG329.ilmn.230302.v129mh.fna	0 B
OG329	OG329.ilmn.230419	OG329.ilmn.230419.v129mh.fna	670.567 MiB
OG330	OG330.ilmn.230324	OG330.ilmn.230324.v129mh.fna	652.872 MiB
OG331	OG331.ilmn.221115	OG331.ilmn.221115.v129mh.fna	581.807 MiB
OG332	OG332.ilmn.230324	OG332.ilmn.230324.v129mh.fna	677.819 MiB
OG333	OG333.ilmn.230302	OG333.ilmn.230302.v129mh.fna	0 B
OG333	OG333.ilmn.230419	OG333.ilmn.230419.v129mh.fna	0 B
OG334	OG334.ilmn.230324	OG334.ilmn.230324.v129mh.fna	698.869 MiB
OG335	OG335.ilmn.230324	OG335.ilmn.230324.v129mh.fna	651.488 MiB
OG336	OG336.ilmn.230324	OG336.ilmn.230324.v129mh.fna	671.695 MiB
OG337	OG337.ilmn.230324	OG337.ilmn.230324.v129mh.fna	783.552 MiB
OG338	OG338.ilmn.230324	OG338.ilmn.230324.v129mh.fna	785.004 MiB
OG339	OG339.ilmn.230324	OG339.ilmn.230324.v129mh.fna	1.353 GiB
OG340	OG340.ilmn.230324	OG340.ilmn.230324.v129mh.fna	1.674 GiB
OG341	OG341.ilmn.230324	OG341.ilmn.230324.v129mh.fna	547.903 MiB
OG342	OG342.ilmn.230324	OG342.ilmn.230324.v129mh.fna	591.794 MiB
OG343	OG343.ilmn.230324	OG343.ilmn.230324.v129mh.fna	659.004 MiB
OG344	OG344.ilmn.230324	OG344.ilmn.230324.v129mh.fna	643.077 MiB
OG345	OG345.ilmn.230324	OG345.ilmn.230324.v129mh.fna	605.660 MiB
OG346	OG346.ilmn.230324	OG346.ilmn.230324.v129mh.fna	910.341 MiB
OG347	OG347.ilmn.230324	OG347.ilmn.230324.v129mh.fna	766.834 MiB
OG348	OG348.ilmn.230324	OG348.ilmn.230324.v129mh.fna	2.172 GiB
OG349	OG349.ilmn.230324	OG349.ilmn.230324.v129mh.fna	806.251 MiB
OG350	OG350.ilmn.230324	OG350.ilmn.230324.v129mh.fna	1.222 GiB
OG351	OG351.ilmn.221003	OG351.ilmn.221003.v129mh.fna	966.859 MiB
OG352	OG352.ilmn.221003	OG352.ilmn.221003.v129mh.fna	1.000 GiB
